start,end,textvalue,value
2023-07-20 05:03:11 -0400,2023-07-20 07:04:41 -0400,InBed,0
2023-07-20 07:04:41 -0400,2023-07-20 07:06:11 -0400,Awake,0
2023-07-20 07:06:11 -0400,2023-07-20 07:25:11 -0400,AsleepCore,1
2023-07-20 07:06:11 -0400,2023-07-20 07:25:11 -0400,InBed,0
2023-07-20 07:25:11 -0400,2023-07-20 07:34:11 -0400,Awake,0
2023-07-20 07:34:11 -0400,2023-07-20 07:39:11 -0400,AsleepCore,1
2023-07-20 07:34:11 -0400,2023-07-20 07:39:11 -0400,InBed,0
2023-07-20 00:03:37 -0400,2023-07-20 07:49:07 -0400,InBed,0
2023-07-22 22:46:18 -0400,2023-07-22 23:05:22 -0400,InBed,0
2023-07-22 23:05:27 -0400,2023-07-22 23:21:14 -0400,InBed,0
2023-07-22 23:21:17 -0400,2023-07-22 23:21:21 -0400,InBed,0
2023-07-22 23:21:57 -0400,2023-07-22 23:24:09 -0400,InBed,0
2023-07-22 23:24:10 -0400,2023-07-22 23:24:11 -0400,InBed,0
2023-07-22 23:28:07 -0400,2023-07-22 23:28:23 -0400,InBed,0
2023-07-22 23:28:24 -0400,2023-07-22 23:28:26 -0400,InBed,0
2023-07-22 23:28:38 -0400,2023-07-22 23:36:21 -0400,InBed,0
2023-07-22 23:37:19 -0400,2023-07-22 23:39:57 -0400,InBed,0
2023-07-22 23:40:04 -0400,2023-07-22 23:46:41 -0400,InBed,0
2023-07-22 23:51:00 -0400,2023-07-22 23:52:56 -0400,InBed,0
2023-07-22 23:54:11 -0400,2023-07-22 23:58:51 -0400,InBed,0
2023-07-23 00:00:35 -0400,2023-07-23 00:01:09 -0400,InBed,0
2023-07-23 00:01:14 -0400,2023-07-23 00:01:58 -0400,InBed,0
2023-07-23 00:02:01 -0400,2023-07-23 00:02:35 -0400,InBed,0
2023-07-23 00:03:14 -0400,2023-07-23 00:12:38 -0400,InBed,0
2023-07-23 00:12:46 -0400,2023-07-23 00:26:45 -0400,InBed,0
2023-07-23 00:34:02 -0400,2023-07-23 00:34:50 -0400,InBed,0
2023-07-23 00:21:35 -0400,2023-07-23 00:41:35 -0400,AsleepCore,1
2023-07-23 00:35:23 -0400,2023-07-23 00:52:16 -0400,InBed,0
2023-07-23 00:52:59 -0400,2023-07-23 00:53:21 -0400,InBed,0
2023-07-23 00:53:36 -0400,2023-07-23 00:54:36 -0400,InBed,0
2023-07-23 00:54:57 -0400,2023-07-23 00:55:43 -0400,InBed,0
2023-07-23 00:41:35 -0400,2023-07-23 00:56:05 -0400,AsleepDeep,1
2023-07-23 00:21:35 -0400,2023-07-23 00:56:05 -0400,InBed,0
2023-07-23 00:55:49 -0400,2023-07-23 00:59:18 -0400,InBed,0
2023-07-23 00:59:41 -0400,2023-07-23 01:02:49 -0400,InBed,0
2023-07-23 00:56:05 -0400,2023-07-23 01:05:35 -0400,Awake,0
2023-07-23 01:05:35 -0400,2023-07-23 01:20:05 -0400,AsleepCore,1
2023-07-23 01:20:05 -0400,2023-07-23 01:56:05 -0400,AsleepDeep,1
2023-07-23 01:05:35 -0400,2023-07-23 01:56:05 -0400,InBed,0
2023-07-23 01:56:05 -0400,2023-07-23 01:56:35 -0400,Awake,0
2023-07-23 01:56:35 -0400,2023-07-23 02:06:05 -0400,AsleepCore,1
2023-07-23 02:06:05 -0400,2023-07-23 02:16:35 -0400,AsleepREM,1
2023-07-23 02:16:35 -0400,2023-07-23 02:51:35 -0400,AsleepCore,1
2023-07-23 02:51:35 -0400,2023-07-23 03:19:35 -0400,AsleepDeep,1
2023-07-23 03:19:35 -0400,2023-07-23 03:25:35 -0400,AsleepCore,1
2023-07-23 01:56:35 -0400,2023-07-23 03:25:35 -0400,InBed,0
2023-07-23 03:25:35 -0400,2023-07-23 03:26:05 -0400,Awake,0
2023-07-23 03:26:05 -0400,2023-07-23 03:31:05 -0400,AsleepCore,1
2023-07-23 03:31:05 -0400,2023-07-23 03:54:35 -0400,AsleepREM,1
2023-07-23 03:54:35 -0400,2023-07-23 05:33:05 -0400,AsleepCore,1
2023-07-23 05:33:05 -0400,2023-07-23 05:34:05 -0400,AsleepREM,1
2023-07-23 03:26:05 -0400,2023-07-23 05:34:05 -0400,InBed,0
2023-07-23 05:34:05 -0400,2023-07-23 05:35:05 -0400,Awake,0
2023-07-23 05:35:05 -0400,2023-07-23 05:38:05 -0400,AsleepCore,1
2023-07-23 05:35:05 -0400,2023-07-23 05:38:05 -0400,InBed,0
2023-07-23 05:38:05 -0400,2023-07-23 05:41:35 -0400,Awake,0
2023-07-23 05:41:35 -0400,2023-07-23 05:43:05 -0400,AsleepCore,1
2023-07-23 05:41:35 -0400,2023-07-23 05:43:05 -0400,InBed,0
2023-07-23 05:43:05 -0400,2023-07-23 05:44:35 -0400,Awake,0
2023-07-23 05:44:35 -0400,2023-07-23 05:53:05 -0400,AsleepCore,1
2023-07-23 05:53:05 -0400,2023-07-23 06:14:05 -0400,AsleepREM,1
2023-07-23 06:14:05 -0400,2023-07-23 07:09:05 -0400,AsleepCore,1
2023-07-23 05:44:35 -0400,2023-07-23 07:09:05 -0400,InBed,0
